1788016867.312289992	20:58:43:71:e2:64	00:01:21:48:26:89	54	145
1788016867.316572266	00:01:21:48:26:89	20:58:43:71:e2:64	60	146
1788016867.321077022	00:01:21:48:26:89	20:58:43:71:e2:64	335	147
1788016867.321102359	20:58:43:71:e2:64	00:01:21:48:26:89	54	148
1788016867.321704835	20:58:43:71:e2:64	00:01:21:48:26:89	128	149
1788016867.321882494	20:58:43:71:e2:64	00:01:21:48:26:89	146	150
1788016867.323484823	00:01:21:48:26:89	20:58:43:71:e2:64	60	151
1788016867.323485113	00:01:21:48:26:89	20:58:43:71:e2:64	60	152
1788016867.323515850	20:58:43:71:e2:64	00:01:21:48:26:89	319	153
1788016867.325950261	00:01:21:48:26:89	20:58:43:71:e2:64	60	154
1788016867.327096805	00:01:21:48:26:89	20:58:43:71:e2:64	116	155
1788016867.327321812	20:58:43:71:e2:64	00:01:21:48:26:89	85	156
1788016867.332340631	00:01:21:48:26:89	20:58:43:71:e2:64	85	157
1788016867.332865994	00:01:21:48:26:89	20:58:43:71:e2:64	1514	158
1788016867.332894887	20:58:43:71:e2:64	00:01:21:48:26:89	54	159
1788016867.333615493	00:01:21:48:26:89	20:58:43:71:e2:64	2974	160
1788016867.333620332	00:01:21:48:26:89	20:58:43:71:e2:64	7354	161
1788016867.333644797	20:58:43:71:e2:64	00:01:21:48:26:89	54	162
1788016867.333716329	20:58:43:71:e2:64	00:01:21:48:26:89	54	163
1788016867.337465906	00:01:21:48:26:89	20:58:43:71:e2:64	1514	164
1788016867.337466287	00:01:21:48:26:89	20:58:43:71:e2:64	3320	165
1788016867.337466457	00:01:21:48:26:89	20:58:43:71:e2:64	2974	166
1788016867.337466638	00:01:21:48:26:89	20:58:43:71:e2:64	2974	167
1788016867.337512322	20:58:43:71:e2:64	00:01:21:48:26:89	54	168
1788016867.337584747	20:58:43:71:e2:64	00:01:21:48:26:89	54	169
1788016867.337740325	00:01:21:48:26:89	20:58:43:71:e2:64	2974	170
1788016867.337740635	00:01:21:48:26:89	20:58:43:71:e2:64	1514	171
1788016867.337759510	20:58:43:71:e2:64	00:01:21:48:26:89	54	172
1788016867.337808331	00:01:21:48:26:89	20:58:43:71:e2:64	2974	173
1788016867.337808701	00:01:21:48:26:89	20:58:43:71:e2:64	1514	174
1788016867.339259079	00:01:21:48:26:89	20:58:43:71:e2:64	5894	175
1788016867.339259459	00:01:21:48:26:89	20:58:43:71:e2:64	5894	176
1788016867.339930412	20:58:43:71:e2:64	00:01:21:48:26:89	54	177
1788016867.340357283	00:01:21:48:26:89	20:58:43:71:e2:64	2974	178
1788016867.340357724	00:01:21:48:26:89	20:58:43:71:e2:64	2974	179
1788016867.340357844	00:01:21:48:26:89	20:58:43:71:e2:64	4434	180
1788016867.340396376	20:58:43:71:e2:64	00:01:21:48:26:89	54	181
1788016867.340483377	20:58:43:71:e2:64	00:01:21:48:26:89	54	182
1788016867.341487798	00:01:21:48:26:89	20:58:43:71:e2:64	1514	183
1788016867.341500812	00:01:21:48:26:89	20:58:43:71:e2:64	2974	184
1788016867.341597521	20:58:43:71:e2:64	00:01:21:48:26:89	54	185
1788016867.342813725	00:01:21:48:26:89	20:58:43:71:e2:64	8814	186
1788016867.342814035	00:01:21:48:26:89	20:58:43:71:e2:64	1514	187
1788016867.342814165	00:01:21:48:26:89	20:58:43:71:e2:64	4434	188
1788016867.342865651	00:01:21:48:26:89	20:58:43:71:e2:64	1514	189
1788016867.342865831	00:01:21:48:26:89	20:58:43:71:e2:64	1514	190
1788016867.342865971	00:01:21:48:26:89	20:58:43:71:e2:64	1219	191
1788016867.342927886	20:58:43:71:e2:64	00:01:21:48:26:89	54	192
1788016867.401785614	e2:e9:dc:b3:7e:90	01:00:5e:00:00:fb	290	193
1788016867.402056837	be:b3:51:01:2d:df	01:00:5e:00:00:fb	76	194
1788016867.402246979	be:b3:51:01:2d:df	33:33:00:00:00:fb	96	195
1788016867.402403920	be:b3:51:01:2d:df	33:33:00:00:00:fb	100	196
1788016867.402731527	be:b3:51:01:2d:df	01:00:5e:00:00:fb	80	197
1788016867.403669725	ec:74:d7:26:7e:2c	ff:ff:ff:ff:ff:ff	564	198
1788016867.404536501	be:b3:51:01:2d:df	01:00:5e:00:00:fb	107	199
1788016867.404522996	c0:74:ad:dc:1e:64	ff:ff:ff:ff:ff:ff	564	200
1788016867.404815999	be:b3:51:01:2d:df	33:33:00:00:00:fb	127	201
1788016867.405960138	ec:74:d7:26:7e:d0	ff:ff:ff:ff:ff:ff	564	202
1788016867.503288623	b2:a7:a5:e5:4f:c1	33:33:00:00:00:fb	139	203
1788016867.503458217	b2:a7:a5:e5:4f:c1	01:00:5e:00:00:fb	119	204
1788016867.503889747	00:01:21:48:26:89	ff:ff:ff:ff:ff:ff	60	205
1788016867.503901158	26:21:e7:02:03:c0	01:00:5e:00:00:fb	151	206
1788016867.504527499	26:21:e7:02:03:c0	33:33:00:00:00:fb	171	207
1788016867.504538980	c0:74:ad:dc:25:08	33:33:00:01:00:02	172	208
1788016867.504816895	00:01:21:48:26:89	ff:ff:ff:ff:ff:ff	60	209
1788016867.504828466	00:01:21:48:26:89	ff:ff:ff:ff:ff:ff	60	210
